QRCode,Linha,OP,Produto,Sintoma,Origem,Qtd.,Usuário_Solicitante,Data.Solicitação,Hora.Solicitação,Usuário_Aprov/Reprov,Data.Aprovação,Hora.Aprovação,Status
96,9619,Acid.Pit,2261,2003170099N0299,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,4.0,Claire.Redfield,03/11/2022,10:27:04,Kerri.Green,04/11/2022,08:29:51,Aprovado
97,9620,Acid.Pit,2261,200202000000587,COMPONENTE_SMD_ALTERADO,Fornecedor,21.0,Claire.Redfield,03/11/2022,10:28:32,Kerri.Green,04/11/2022,08:29:52,Aprovado
98,9621,Acid.Pit,2261,200209120000476,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,2.0,Claire.Redfield,03/11/2022,10:33:01,Kerri.Green,04/11/2022,08:29:54,Aprovado
99,9622,Acid.Pit,2261,200209120000475,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Claire.Redfield,03/11/2022,10:33:38,Kerri.Green,04/11/2022,08:29:59,Aprovado
100,9623,Acid.Pit,2261,200205990000561,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Claire.Redfield,03/11/2022,10:34:53,Kerri.Green,04/11/2022,08:30:03,Aprovado
101,9624,Acid.Pit,2261,200206010000215,COMPONENTE_SMD_ALTERADO,Fornecedor,9.0,Claire.Redfield,03/11/2022,10:36:37,Kerri.Green,04/11/2022,08:30:06,Aprovado
102,9625,Acid.Pit,2261,200209050000532,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,5.0,Claire.Redfield,03/11/2022,10:41:32,Kerri.Green,04/11/2022,08:30:09,Aprovado
103,9626,Acid.Pit,2261,300100160000148,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,3.0,Claire.Redfield,03/11/2022,10:42:25,Kerri.Green,04/11/2022,08:30:11,Aprovado
104,9627,Acid.Pit,2261,200209050000593,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,7.0,Claire.Redfield,03/11/2022,10:44:08,Kerri.Green,04/11/2022,08:30:15,Aprovado
105,9628,Acid.Pit,2261,200209030000576,VISOR_COM_IMPUREZA,Fornecedor,65.0,Claire.Redfield,03/11/2022,10:47:22,Kerri.Green,04/11/2022,08:30:19,Aprovado
106,9631,Acid.Pit,2261,2002090199N0003,GAB.FRONT.MINIBASE_ESPANADO,Estrela.DaMorte,2.0,Claire.Redfield,03/11/2022,10:50:46,Kerri.Green,04/11/2022,08:30:22,Aprovado
107,9632,Acid.Pit,2261,2002090199N0003,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,4.0,Claire.Redfield,03/11/2022,10:51:14,Kerri.Green,04/11/2022,08:30:25,Aprovado
108,9633,Acid.Pit,2261,200209030000576,VISOR_COM_IMPUREZA,Fornecedor,2.0,Claire.Redfield,03/11/2022,10:51:43,Kerri.Green,04/11/2022,08:30:30,Aprovado
109,9634,Acid.Pit,2261,200499000000605,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,1.0,Claire.Redfield,03/11/2022,10:52:50,Kerri.Green,04/11/2022,08:30:34,Aprovado
110,9639,Acid.Pit,2261,2003180099N0756,COMPONENTE_PSA_DANIFICADO,B.612,24.0,Claire.Redfield,03/11/2022,11:12:10,Kerri.Green,04/11/2022,08:30:39,Aprovado
111,9641,Acid.Pit,2261,200212000000401,ANTENA_ADESIVA_DANIFICADA,Estrela.DaMorte,2.0,Claire.Redfield,03/11/2022,11:12:48,Kerri.Green,04/11/2022,08:30:46,Aprovado
112,9644,Acid.Pit,2261,200499000000605,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,1.0,Claire.Redfield,03/11/2022,11:13:20,Kerri.Green,04/11/2022,08:30:52,Aprovado
113,9645,Acid.Pit,2261,2003170099N0299,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,2.0,Claire.Redfield,03/11/2022,11:13:58,Kerri.Green,04/11/2022,08:30:57,Aprovado
114,9678,Cheese.Bridge,2298,200209010000002,TOUCHSCREEN_NÃO_ATUA(TP),Akira.Toriyama,8.0,Viuva.negra,03/11/2022,14:16:09,Luke.Skywalker,04/11/2022,09:49:18,Aprovado
115,9679,Cheese.Bridge,2298,200209010000002,GABINETE_ESPANADO,Estrela.DaMorte,3.0,Viuva.negra,03/11/2022,14:17:10,Luke.Skywalker,04/11/2022,09:49:21,Aprovado
116,9680,Cheese.Bridge,2298,200209020000003,GABINETE_ESPANADO,Estrela.DaMorte,2.0,Viuva.negra,03/11/2022,14:17:51,Luke.Skywalker,04/11/2022,09:49:22,Aprovado
117,9681,Cheese.Bridge,2298,200212000000420,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,2.0,Viuva.negra,03/11/2022,14:18:21,Luke.Skywalker,04/11/2022,09:49:24,Aprovado
118,9692,Front.Door,2285,2002090100I1003,GABINETE_COM_MANCHA,Fornecedor,8.0,Adão.Negro,03/11/2022,15:42:33,Kerri.Green,04/11/2022,08:31:03,Aprovado
119,9693,Front.Door,2285,2002090100I1003,GABINETE_FRONTAL_COM_RISCO,Estrela.DaMorte,2.0,Adão.Negro,03/11/2022,15:43:17,Kerri.Green,04/11/2022,08:31:04,Aprovado
120,9694,Front.Door,2285,2002090100I1003,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,6.0,Adão.Negro,03/11/2022,15:44:22,Kerri.Green,04/11/2022,08:31:06,Aprovado
121,9695,Front.Door,2285,2002090100I1003,GABINETE_COM_MANCHA,Estrela.DaMorte,5.0,Adão.Negro,03/11/2022,15:45:22,Kerri.Green,04/11/2022,08:31:09,Aprovado
122,9696,Front.Door,2285,2002090100I1003,GABINETE_ESPANADO,Estrela.DaMorte,4.0,Adão.Negro,03/11/2022,15:46:10,Kerri.Green,04/11/2022,08:31:11,Aprovado
123,9697,Cheese.Bridge,2298,200212000000421,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,2.0,Viuva.negra,03/11/2022,16:12:11,Luke.Skywalker,04/11/2022,09:49:25,Aprovado
124,9698,Cheese.Bridge,2298,300100080000021,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,1.0,Viuva.negra,03/11/2022,16:12:40,Luke.Skywalker,04/11/2022,09:49:26,Aprovado
125,9699,Cheese.Bridge,2298,20030500AHN0084,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,2.0,Viuva.negra,03/11/2022,16:13:50,Luke.Skywalker,04/11/2022,09:49:28,Aprovado
126,9700,Cheese.Bridge,2298,200209120000276,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Viuva.negra,03/11/2022,16:15:43,Luke.Skywalker,04/11/2022,09:49:29,Aprovado
